kode,nama,developer,kecamatan,subsidi,komersil
LMJ0920062020T001,D'GREEN HASANAH RESIDENCE,PT BINTANG INDONESIA SENTOSA,Tekung,11,0
LMJ0520052020T001,Puri Bintang Residence,PT BINTANG INDONESIA SENTOSA,Tempeh,0,0
LMJ0420042020T001,Green Ndalem Bago,PT. ROJO LAND INDONESIA BUILD,Pasirian,0,0
LMJ0620112020T001,THE HASANAH RESIDENCE,PT BINTANG INDONESIA SENTOSA,Kunir,3,0
LMJ1520072020T002,D'MARGOJOYO LAND,MARGOJOYO ANUGRAH PERSADA,Sukodono,0,0
LMJ1010052020T001,GRAND HILTON RESIDENCE,PT KAYA SEJAHTERA BERLIPAT,Lumajang,3,3
LMJ1010092020T001,Perumahan Pondok Abadi,PT RONI LAILA ABADI,Lumajang,1,0
LMJ2120032020T001,MAHAMERU RESIDENCE,PT MORU KAIA JAYA UTAMA,Sumbersuko,7,9
LMJ1520072020T001,PERUMAHAN GREENLAND SUMBEREJO 1,PT EAST KEDATON JAYALAND,Sukodono,7,0
LMJ1520072020T003,PERUMAHAN GREENLAND SUMBEREJO 2,PT EAST KEDATON JAYALAND,Sukodono,2,5
